n,method,seed,accuracy
6,Probe+LR (random),7,0.894616
6,Probe+LR (random),8,0.882145
6,Probe+LR (random),9,0.843251
6,Probe+LR (random),10,0.877651
6,Probe+LR (random),11,0.832321
6,Probe+LR (random),12,0.879639
6,Probe+LR (random),13,0.861386
6,Probe+LR (random),14,0.872710
6,Probe+LR (random),15,0.826448
6,Probe+LR (random),16,0.862230
6,Probe+LR (random),17,0.853345
6,Probe+LR (random),18,0.867564
6,Probe+LR (random),19,0.861033
8,Probe+LR (random),0,0.907017
8,Probe+LR (random),1,0.891666
8,Probe+LR (random),2,0.859724
8,Probe+LR (random),3,0.902048
8,Probe+LR (random),4,0.882070
8,Probe+LR (random),5,0.892152
8,Probe+LR (random),6,0.873633
8,Probe+LR (random),7,0.890943
8,Probe+LR (random),8,0.915328
8,Probe+LR (random),9,0.883954
8,Probe+LR (random),10,0.904482
8,Probe+LR (random),11,0.895642
8,Probe+LR (random),12,0.900817
8,Probe+LR (random),13,0.889807
8,Probe+LR (random),14,0.887820
8,Probe+LR (random),15,0.866500
8,Probe+LR (random),16,0.889934
8,Probe+LR (random),17,0.912876
8,Probe+LR (random),18,0.903875
8,Probe+LR (random),19,0.889713
10,Probe+LR (random),0,0.911801
10,Probe+LR (random),1,0.920369
10,Probe+LR (random),2,0.920542
10,Probe+LR (random),3,0.894911
10,Probe+LR (random),4,0.921967
10,Probe+LR (random),5,0.920917
10,Probe+LR (random),6,0.888477
10,Probe+LR (random),7,0.920561
10,Probe+LR (random),8,0.902724
10,Probe+LR (random),9,0.881216
10,Probe+LR (random),10,0.925395
10,Probe+LR (random),11,0.912538
10,Probe+LR (random),12,0.902147
10,Probe+LR (random),13,0.881012
10,Probe+LR (random),14,0.890887
10,Probe+LR (random),15,0.892294
10,Probe+LR (random),16,0.906145
10,Probe+LR (random),17,0.912505
10,Probe+LR (random),18,0.925764
10,Probe+LR (random),19,0.927829
12,Probe+LR (random),0,0.922828
12,Probe+LR (random),1,0.921846
12,Probe+LR (random),2,0.928469
12,Probe+LR (random),3,0.912255
12,Probe+LR (random),4,0.923738
12,Probe+LR (random),5,0.886286
12,Probe+LR (random),6,0.924494
12,Probe+LR (random),7,0.922024
12,Probe+LR (random),8,0.896847
12,Probe+LR (random),9,0.908189
12,Probe+LR (random),10,0.881104
12,Probe+LR (random),11,0.919584
12,Probe+LR (random),12,0.923692
12,Probe+LR (random),13,0.907201
12,Probe+LR (random),14,0.896551
12,Probe+LR (random),15,0.921474
12,Probe+LR (random),16,0.920655
12,Probe+LR (random),17,0.900979
12,Probe+LR (random),18,0.911174
12,Probe+LR (random),19,0.890610
0,Probe+LR (OED),0,0.556872
0,Probe+LR (OED),1,0.518337
0,Probe+LR (OED),2,0.545062
0,Probe+LR (OED),3,0.515972
0,Probe+LR (OED),4,0.526741
0,Probe+LR (OED),5,0.500458
0,Probe+LR (OED),6,0.480347
0,Probe+LR (OED),7,0.528266
0,Probe+LR (OED),8,0.498825
0,Probe+LR (OED),9,0.515897
0,Probe+LR (OED),10,0.517928
0,Probe+LR (OED),11,0.512362
0,Probe+LR (OED),12,0.519208
0,Probe+LR (OED),13,0.532983
0,Probe+LR (OED),14,0.523300
0,Probe+LR (OED),15,0.507123
0,Probe+LR (OED),16,0.571525
0,Probe+LR (OED),17,0.533972
0,Probe+LR (OED),18,0.498152
0,Probe+LR (OED),19,0.496671
1,Probe+LR (OED),0,0.689415
1,Probe+LR (OED),1,0.662453
1,Probe+LR (OED),2,0.750231
1,Probe+LR (OED),3,0.671473
1,Probe+LR (OED),4,0.698730
1,Probe+LR (OED),5,0.669835
1,Probe+LR (OED),6,0.654047
1,Probe+LR (OED),7,0.656939
1,Probe+LR (OED),8,0.711977
1,Probe+LR (OED),9,0.662818
1,Probe+LR (OED),10,0.642304
1,Probe+LR (OED),11,0.682102
1,Probe+LR (OED),12,0.646759
1,Probe+LR (OED),13,0.713958
1,Probe+LR (OED),14,0.655693
1,Probe+LR (OED),15,0.681601
1,Probe+LR (OED),16,0.685220
1,Probe+LR (OED),17,0.688506
1,Probe+LR (OED),18,0.697673
1,Probe+LR (OED),19,0.658266
2,Probe+LR (OED),0,0.745794
2,Probe+LR (OED),1,0.790864
2,Probe+LR (OED),2,0.730993
2,Probe+LR (OED),3,0.752965
2,Probe+LR (OED),4,0.755080
2,Probe+LR (OED),5,0.731235
2,Probe+LR (OED),6,0.772699
2,Probe+LR (OED),7,0.742086
2,Probe+LR (OED),8,0.788719
2,Probe+LR (OED),9,0.793061
2,Probe+LR (OED),10,0.733371
2,Probe+LR (OED),11,0.732567
2,Probe+LR (OED),12,0.756571
2,Probe+LR (OED),13,0.789410
2,Probe+LR (OED),14,0.773244
2,Probe+LR (OED),15,0.778099
2,Probe+LR (OED),16,0.723255
2,Probe+LR (OED),17,0.763560
2,Probe+LR (OED),18,0.753773
2,Probe+LR (OED),19,0.772652
3,Probe+LR (OED),0,0.869717
3,Probe+LR (OED),1,0.814928
3,Probe+LR (OED),2,0.815468
3,Probe+LR (OED),3,0.835924
3,Probe+LR (OED),4,0.809405
3,Probe+LR (OED),5,0.828520
3,Probe+LR (OED),6,0.800909
3,Probe+LR (OED),7,0.810991
3,Probe+LR (OED),8,0.835863
3,Probe+LR (OED),9,0.822256
3,Probe+LR (OED),10,0.832158
